"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
37,"2","2025-01-27T14:04:32.758528Z",37,"[{""start"":0,""end"":12,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":13,""end"":15,""text"":""की"",""labels"":[""NOUN""]},{""start"":16,""end"":29,""text"":""Narendra Modi"",""labels"":[""PROPN""]},{""start"":30,""end"":32,""text"":""को"",""labels"":[""ADJ""]},{""start"":33,""end"":36,""text"":""दो "",""labels"":[""VERB""]},{""start"":36,""end"":39,""text"":""टूक"",""labels"":[""NOUN""]},{""start"":39,""end"":42,""text"":"", \"""",""labels"":[""X""]},{""start"":42,""end"":44,""text"":""इस"",""labels"":[""DET""]},{""start"":42,""end"":44,""text"":""इस"",""labels"":[""DET""]},{""start"":45,""end"":49,""text"":""जन्म"",""labels"":[""NOUN""]},{""start"":50,""end"":52,""text"":""तो"",""labels"":[""PART""]},{""start"":53,""end"":57,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":58,""end"":63,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":64,""end"":68,""text"":""जन्म"",""labels"":[""NOUN""]},{""start"":69,""end"":71,""text"":""के"",""labels"":[""ADJ""]},{""start"":72,""end"":74,""text"":""भी"",""labels"":[""PART""]},{""start"":74,""end"":98,""text"":""..\"" #sanjaysingh #shorts"",""labels"":[""X""]}]",805.505,"Sanjay Singh की Narendra Modi को दो टूक, ""इस जन्म तो क्या पिछले जन्म के भी.."" #sanjaysingh #shorts","2025-01-27T14:04:32.758561Z"
38,"2","2025-01-27T14:08:26.501104Z",38,"[{""start"":0,""end"":2,""text"":""एक"",""labels"":[""DET""]},{""start"":3,""end"":5,""text"":""और"",""labels"":[""CONJ""]},{""start"":6,""end"":9,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":10,""end"":14,""text"":""नेता"",""labels"":[""NOUN""]},{""start"":15,""end"":32,""text"":""Saurabh Bharadwaj"",""labels"":[""PROPN""]},{""start"":33,""end"":36,""text"":""ने "",""labels"":[""ADP""]},{""start"":36,""end"":41,""text"":""दिखाई"",""labels"":[""VERB""]},{""start"":42,""end"":46,""text"":""अपनी"",""labels"":[""PRON""]},{""start"":47,""end"":53,""text"":""Degree"",""labels"":[""NOUN""]},{""start"":54,""end"":55,""text"":""🔥"",""labels"":[""X""]},{""start"":56,""end"":57,""text"":""|"",""labels"":[""X""]},{""start"":58,""end"":71,""text"":""Narendra Modi"",""labels"":[""PROPN""]}]",220.104,"एक और AAP नेता Saurabh Bharadwaj ने दिखाई अपनी Degree 🔥 | Narendra Modi","2025-01-27T14:08:26.501121Z"
39,"2","2025-01-27T14:12:05.585609Z",39,"[{""start"":0,""end"":3,""text"":""ED "",""labels"":[""PROPN""]},{""start"":3,""end"":5,""text"":""की"",""labels"":[""ADP""]},{""start"":6,""end"":10,""text"":""Fake"",""labels"":[""ADJ""]},{""start"":11,""end"":22,""text"":""Chargesheet"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""से"",""labels"":[""ADP""]},{""start"":26,""end"":38,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":42,""end"":46,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":39,""end"":41,""text"":""ने"",""labels"":[""ADP""]},{""start"":47,""end"":49,""text"":""को"",""labels"":[""ADP""]},{""start"":50,""end"":54,""text"":""किया"",""labels"":[""VERB""]},{""start"":62,""end"":63,""text"":""|"",""labels"":[""X""]},{""start"":64,""end"":79,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",201.769,"ED की Fake Chargesheet से Sanjay Singh ने Modi को किया EXPOSE | Aam Aadmi Party","2025-01-27T14:12:05.585628Z"
40,"2","2025-01-27T14:14:35.576824Z",40,"[{""start"":0,""end"":15,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":16,""end"":19,""text"":""से "",""labels"":[""ADP""]},{""start"":19,""end"":31,""text"":""मिलने पहुंचे"",""labels"":[""VERB""]},{""start"":32,""end"":44,""text"":""Nitish Kumar"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""ने"",""labels"":[""ADP""]},{""start"":48,""end"":64,""text"":""Opposition Unity"",""labels"":[""NOUN""]},{""start"":65,""end"":67,""text"":""पर"",""labels"":[""ADP""]},{""start"":73,""end"":76,""text"":""कहा"",""labels"":[""VERB""]},{""start"":68,""end"":72,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":76,""end"":80,""text"":""? | "",""labels"":[""X""]},{""start"":80,""end"":95,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",143.187,"Arvind Kejriwal से मिलने पहुंचे Nitish Kumar ने Opposition Unity पर क्या कहा? | Aam Aadmi Party","2025-01-27T14:14:35.576848Z"
41,"2","2025-01-27T14:17:39.609477Z",41,"[{""start"":0,""end"":2,""text"":""एक"",""labels"":[""DET""]},{""start"":3,""end"":5,""text"":""और"",""labels"":[""CONJ""]},{""start"":6,""end"":9,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":10,""end"":14,""text"":""नेता"",""labels"":[""NOUN""]},{""start"":15,""end"":27,""text"":""Jasmine Shah"",""labels"":[""PROPN""]},{""start"":76,""end"":89,""text"":""Narendra Modi"",""labels"":[""PROPN""]},{""start"":72,""end"":75,""text"":""🔥 |"",""labels"":[""X""]},{""start"":28,""end"":31,""text"":""ने "",""labels"":[""ADP""]},{""start"":48,""end"":51,""text"":""में"",""labels"":[""ADP""]},{""start"":31,""end"":47,""text"":""Press Conference"",""labels"":[""NOUN""]},{""start"":52,""end"":59,""text"":""दिखा दी"",""labels"":[""VERB""]},{""start"":60,""end"":65,""text"":""अपनी "",""labels"":[""PRON""]},{""start"":65,""end"":71,""text"":""Degree"",""labels"":[""NOUN""]}]",181.737,"एक और AAP नेता Jasmine Shah ने Press Conference में दिखा दी अपनी Degree 🔥 | Narendra Modi","2025-01-27T14:17:39.609494Z"
42,"2","2025-01-27T14:20:15.186397Z",42,"[{""start"":69,""end"":72,""text"":""🤣 |"",""labels"":[""X""]},{""start"":73,""end"":76,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":80,""end"":83,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":77,""end"":79,""text"":""Vs"",""labels"":[""CONJ""]},{""start"":38,""end"":55,""text"":""Saurabh Bharadwaj"",""labels"":[""PROPN""]},{""start"":0,""end"":21,""text"":""LG Vinai Kumar Saxena"",""labels"":[""PROPN""]},{""start"":22,""end"":24,""text"":""की"",""labels"":[""ADP""]},{""start"":25,""end"":30,""text"":""कौनसी"",""labels"":[""PRON""]},{""start"":31,""end"":34,""text"":""बात"",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""पर"",""labels"":[""ADP""]},{""start"":56,""end"":58,""text"":""को"",""labels"":[""ADP""]},{""start"":59,""end"":63,""text"":""हंसी"",""labels"":[""NOUN""]},{""start"":64,""end"":68,""text"":""आ गई"",""labels"":[""VERB""]}]",154.087,"LG Vinai Kumar Saxena की कौनसी बात पर Saurabh Bharadwaj को हंसी आ गई 🤣 | AAP Vs BJP","2025-01-27T14:20:15.186426Z"
43,"2","2025-01-27T14:23:19.481397Z",43,"[{""start"":0,""end"":6,""text"":""Atishi"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""DU"",""labels"":[""PROPN""]},{""start"":21,""end"":27,""text"":""Oxford"",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""ने"",""labels"":[""ADP""]},{""start"":10,""end"":14,""text"":""अपनी"",""labels"":[""PRON""]},{""start"":18,""end"":20,""text"":""और"",""labels"":[""CONJ""]},{""start"":28,""end"":30,""text"":""की"",""labels"":[""ADP""]},{""start"":31,""end"":37,""text"":""Degree"",""labels"":[""NOUN""]},{""start"":55,""end"":56,""text"":""'"",""labels"":[""X""]},{""start"":75,""end"":78,""text"":""' |"",""labels"":[""X""]},{""start"":79,""end"":92,""text"":""Narendra Modi"",""labels"":[""PROPN""]},{""start"":38,""end"":54,""text"":""दिखाकर शुरू किया"",""labels"":[""VERB""]},{""start"":56,""end"":75,""text"":""Degree दिखाओ अभियान"",""labels"":[""NOUN""]}]",179.156,"Atishi ने अपनी DU और Oxford की Degree दिखाकर शुरू किया 'Degree दिखाओ अभियान' | Narendra Modi","2025-01-27T14:23:19.481482Z"
44,"2","2025-01-27T14:24:48.289292Z",44,"[{""start"":59,""end"":95,""text"":""? | #aamaadmiparty #kejriwal #shorts"",""labels"":[""X""]},{""start"":0,""end"":14,""text"":""Manish Sisodia"",""labels"":[""PROPN""]},{""start"":28,""end"":43,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":44,""end"":47,""text"":""ने "",""labels"":[""ADP""]},{""start"":15,""end"":17,""text"":""के"",""labels"":[""ADP""]},{""start"":18,""end"":24,""text"":""Arrest"",""labels"":[""NOUN""]},{""start"":25,""end"":27,""text"":""पर"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":52,""end"":59,""text"":""कह दिया"",""labels"":[""VERB""]}]",86.591,"Manish Sisodia के Arrest पर Arvind Kejriwal ने क्या कह दिया? | #aamaadmiparty #kejriwal #shorts","2025-01-27T14:24:48.289304Z"
45,"2","2025-01-27T14:38:01.762558Z",45,"[{""start"":0,""end"":15,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":40,""end"":43,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":69,""end"":72,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":93,""end"":97,""text"":""⚡️⚡️"",""labels"":[""X""]},{""start"":16,""end"":18,""text"":""ने"",""labels"":[""ADJ""]},{""start"":19,""end"":36,""text"":""Delhi Govt School"",""labels"":[""NOUN""]},{""start"":37,""end"":39,""text"":""पर"",""labels"":[""ADJ""]},{""start"":44,""end"":46,""text"":""को"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""दिया"",""labels"":[""VERB""]},{""start"":52,""end"":66,""text"":""OPEN CHALLENGE"",""labels"":[""NOUN""]},{""start"":67,""end"":68,""text"":""|"",""labels"":[""X""]},{""start"":73,""end"":77,""text"":""वालो"",""labels"":[""NOUN""]},{""start"":78,""end"":80,""text"":""की"",""labels"":[""ADP""]},{""start"":88,""end"":93,""text"":""नींद "",""labels"":[""NOUN""]},{""start"":81,""end"":87,""text"":""उड़ गयी"",""labels"":[""VERB""]}]",786.979,"Arvind Kejriwal ने Delhi Govt School पर BJP को दिया OPEN CHALLENGE | BJP वालो की उड़ गयी नींद ⚡️⚡️","2025-01-27T14:38:01.762572Z"
46,"2","2025-01-27T14:39:45.978475Z",46,"[{""start"":0,""end"":3,""text"":""CM "",""labels"":[""PROPN""]},{""start"":3,""end"":18,""text"":""Arvind Kejriwal"",""labels"":[""NOUN""]},{""start"":31,""end"":47,""text"":""East Vinod Nagar"",""labels"":[""NOUN""]},{""start"":55,""end"":70,""text"":""School Building"",""labels"":[""PROPN""]},{""start"":71,""end"":73,""text"":""का"",""labels"":[""ADP""]},{""start"":27,""end"":30,""text"":"" के"",""labels"":[""ADP""]},{""start"":19,""end"":22,""text"":""ने "",""labels"":[""ADP""]},{""start"":22,""end"":27,""text"":""Delhi"",""labels"":[""NOUN""]},{""start"":48,""end"":51,""text"":""में"",""labels"":[""ADP""]},{""start"":52,""end"":55,""text"":""नई "",""labels"":[""ADV""]},{""start"":74,""end"":78,""text"":""किया"",""labels"":[""VERB""]},{""start"":79,""end"":88,""text"":""शिलान्यास"",""labels"":[""NOUN""]}]",99.211,"CM Arvind Kejriwal ने Delhi के East Vinod Nagar में नई School Building का किया शिलान्यास","2025-01-27T14:39:45.978504Z"
